"symbol","date","close"
"CL=F",2012-12-28,90.800003
"MXN=X",2012-12-28,13.0025
"CL=F",2012-12-30,NA
"CL=F",2012-12-31,91.82
"MXN=X",2012-12-31,12.8373
"MXN=X",2013-01-01,12.8898
"CL=F",2013-01-02,93.120003
"MXN=X",2013-01-02,12.7534
"CL=F",2013-01-03,92.919998
"MXN=X",2013-01-03,12.7852
"CL=F",2013-01-04,93.089996
"MXN=X",2013-01-04,12.7358
"CL=F",2013-01-06,NA
"CL=F",2013-01-07,93.190002
"MXN=X",2013-01-07,12.76
"CL=F",2013-01-08,93.150002
"MXN=X",2013-01-08,12.7921
"CL=F",2013-01-09,93.099998
"MXN=X",2013-01-09,12.7216
"CL=F",2013-01-10,93.82
"MXN=X",2013-01-10,12.5941
"CL=F",2013-01-11,93.559998
"MXN=X",2013-01-11,12.6514
"CL=F",2013-01-13,NA
"CL=F",2013-01-14,94.139999
"MXN=X",2013-01-14,12.5954
"CL=F",2013-01-15,93.279999
"MXN=X",2013-01-15,12.6106
"CL=F",2013-01-16,94.239998
"MXN=X",2013-01-16,12.6153
"CL=F",2013-01-17,95.489998
"MXN=X",2013-01-17,12.5771
"CL=F",2013-01-18,95.559998
"MXN=X",2013-01-18,12.659
"CL=F",2013-01-20,NA
"MXN=X",2013-01-21,12.6865
"CL=F",2013-01-22,96.239998
"MXN=X",2013-01-22,12.6183
"CL=F",2013-01-23,95.230003
"MXN=X",2013-01-23,12.6957
"CL=F",2013-01-24,95.949997
"MXN=X",2013-01-24,12.632
"CL=F",2013-01-25,95.879997
"MXN=X",2013-01-25,12.6906
"CL=F",2013-01-27,NA
"CL=F",2013-01-28,96.440002
"MXN=X",2013-01-28,12.7678
"CL=F",2013-01-29,97.57
"MXN=X",2013-01-29,12.7142
"CL=F",2013-01-30,97.940002
"MXN=X",2013-01-30,12.7158
"CL=F",2013-01-31,97.489998
"MXN=X",2013-01-31,12.6852
"CL=F",2013-02-01,97.769997
"MXN=X",2013-02-01,12.5981
"CL=F",2013-02-03,NA
"CL=F",2013-02-04,96.169998
"MXN=X",2013-02-04,12.7052
"CL=F",2013-02-05,96.639999
"MXN=X",2013-02-05,12.6291
"CL=F",2013-02-06,96.620003
"MXN=X",2013-02-06,12.6808
"CL=F",2013-02-07,95.830002
"MXN=X",2013-02-07,12.7217
"CL=F",2013-02-08,95.720001
"MXN=X",2013-02-08,12.7144
"CL=F",2013-02-10,NA
"CL=F",2013-02-11,97.029999
"MXN=X",2013-02-11,12.728
"CL=F",2013-02-12,97.510002
"MXN=X",2013-02-12,12.6806
"CL=F",2013-02-13,97.010002
"MXN=X",2013-02-13,12.6756
"CL=F",2013-02-14,97.309998
"MXN=X",2013-02-14,12.6802
"CL=F",2013-02-15,95.860001
"MXN=X",2013-02-15,12.6785
"CL=F",2013-02-17,NA
"MXN=X",2013-02-18,12.6836
"CL=F",2013-02-19,96.660004
"MXN=X",2013-02-19,12.6285
"CL=F",2013-02-20,94.459999
"MXN=X",2013-02-20,12.7165
"CL=F",2013-02-21,92.839996
"MXN=X",2013-02-21,12.7363
"CL=F",2013-02-22,93.129997
"MXN=X",2013-02-22,12.7
"CL=F",2013-02-24,NA
"CL=F",2013-02-25,93.110001
"MXN=X",2013-02-25,12.796
"CL=F",2013-02-26,92.629997
"MXN=X",2013-02-26,12.8418
